keys,fr,en
WORLD_5_NAME,"Volcan Cendre","Ash Volcano"
WORLD_6_NAME,"Grottes de Cristal","Crystal Caves"
WORLD_7_NAME,"Jungle Corrompue","Corrupted Jungle"
WORLD_8_NAME,"Sanctuaire du Ciel","Sky Sanctuary"
INTERLUDE_TITLE,"Une pause !","A break!"
INTERLUDE_SUBTITLE,"PIKO te propose un jeu","PIKO suggests a game"
INTERLUDE_PLAY,"Jouer","Play"
INTERLUDE_SKIP,"Passer","Skip"
INTERLUDE_FREE,"Gratuit","Free"
MG_EGG_HUNT,"Chasse aux Oeufs","Egg Hunt"
MG_EGG_HUNT_RULES,"Attrape les oeufs, evite les pourris !","Catch the eggs, avoid the rotten ones!"
MG_RAPTOR_RACE,"Course de Raptors","Raptor Race"
MG_RAPTOR_RACE_RULES,"Tapote en rythme pour aller plus vite !","Tap to the beat to run faster!"
MG_FOSSIL_DIG,"Fouille Fossile","Fossil Dig"
MG_FOSSIL_DIG_RULES,"Deterre le squelette en 20 coups !","Dig up the skeleton in 20 hits!"
MG_LILY_HOP,"Saut de Nenuphars","Lily Hop"
MG_LILY_HOP_RULES,"Tapote au bon moment pour sauter !","Tap at the right moment to jump!"
MG_PTERO_SHOOT,"Tir aux Pterodactyles","Ptero Shoot"
MG_PTERO_SHOOT_RULES,"Vise et tapote. Les dores valent triple !","Aim and tap. Golden ones are worth triple!"
MG_CRYSTAL_MEMORY,"Memoire de Cristaux","Crystal Memory"
MG_CRYSTAL_MEMORY_RULES,"Refais la sequence de lumieres !","Repeat the sequence of lights!"
MG_NEST_DEFENSE,"Defense du Nid","Nest Defense"
MG_NEST_DEFENSE_RULES,"Place des plantes pour proteger le nid !","Place plants to protect the nest!"
MG_LAVA_SLIDE,"Glisse de Lave","Lava Slide"
MG_LAVA_SLIDE_RULES,"Glisse ton doigt pour esquiver les geysers !","Slide your finger to dodge the geysers!"
MG_VINE_SWING,"Attrape-Liane","Vine Swing"
MG_VINE_SWING_RULES,"Tapote pour lacher et attraper la liane !","Tap to release and catch the vine!"
MG_AMBER_CRACK,"Casse-Ambre","Amber Crack"
MG_AMBER_CRACK_RULES,"Tapote tres vite pour liberer ton ami !","Tap fast to free your friend!"
